se1_frc,se1_wattemp,se1_cond_unadjusted,se4_frc,se1_cond
0.75,29.8,2.37,0.23,2370
0.73,29.2,2.49,0.79,2490
0.64,31.1,2.38,0.21,2380
0.39,31.0,2.23,0.22,2230
0.45,32.5,2.23,0.06,2230
0.36,31.5,2.37,0.07,2370
0.21,31.7,2.23,0.08,2230
0.31,31.3,2.16,0.05,2160
0.32,31.8,2.29,0.07,2290
0.41,32.0,2.25,0.11,2250
0.07,31.4,2.22,0.05,2220
0.05,,2.16,0.02,2160
0.02,33.7,2.14,0.01,2140
0.11,31.1,2.42,0.04,2420
0.01,33.5,2.44,0.03,2440
0.76,32.0,2.01,0.17,2010
0.62,32.8,2.16,0.13,2160
0.83,30.9,2.16,0.13,2160
0.79,31.7,2.16,0.17,2160
0.77,32.4,2.17,0.09,2170
0.66,33.4,2.14,0.17,2140
3.50,31.7,2.17,1.62,2170
3.80,32.5,2.17,2.40,2170
3.40,33.1,2.17,1.84,2170
3.70,31.8,2.20,1.62,2200
3.70,32.2,2.12,1.28,2120
3.40,33.3,2.21,2.50,2210
0.49,31.4,0.418,0.07,418
0.39,31.8,0.453,0.27,453
0.28,32.1,0.404,0.08,404
4.60,33.6,1.92,3.40,1920
4.60,34.1,1.95,3.40,1950
0.48,31.8,0.385,0.20,385
0.45,32.2,0.421,0.06,421
0.02,32.4,0.426,0.18,426
0.30,33.1,0.606,0.01,606
2.80,33.2,0.236,1.38,236
0.64,29.3,1.78,0.17,1780
3.90,31.6,1.80,2.40,1800
0.42,32.4,0.417,0.00,417
0.18,32.6,1.71,0.13,1710
0.13,32.7,1.75,0.00,1750
0.65,29.5,2.34,0.00,2340
2.80,32.5,2.31,0.03,2310
0.39,32.6,0.508,0.06,508
0.34,32.3,0.502,0.01,502
0.15,32.2,2.38,0.09,2380
1.24,30.5,0.453,0.86,453
0.78,31.7,0.454,0.11,454
0.36,31.7,0.460,0.00,460
0.20,31.7,0.420,0.03,420
0.11,32.7,0.429,0.10,429
0.69,30.3,0.497,0.62,497
0.61,31.6,0.431,0.50,431
0.27,31.8,0.451,0.01,451
0.13,31.7,0.532,0.07,532
0.16,31.4,0.449,0.18,449
0.24,31.4,2.06,0.05,2060
0.37,31.2,2.09,0.07,2090
0.37,31.9,2.12,0.01,2120
0.32,32.4,2.05,0.00,2050
1.56,32.2,2.44,1.14,2440
0.15,30.9,2.99,0.03,2990
0.45,31.5,2.18,0.02,2180
0.40,32.2,2.19,0.02,2190
0.39,31.4,2.16,0.05,2160
1.60,32.2,2.13,0.09,2130
0.27,30.8,1.01,0.03,1010
0.25,33.8,2.11,0.24,2110
0.39,32.9,2.12,0.05,2120
0.43,32.9,1.93,,1930
0.15,30.6,1.06,0.05,1060
0.29,33.6,2.01,,2010
0.51,30.9,2.00,0.01,2000
0.26,33.2,2.06,0.01,2060
1.38,30.7,0.842,0.11,842
1.46,31.2,0.930,0.47,930
1.46,32.3,1.09,0.05,1090
1.50,32.5,0.864,0.31,864
1.28,31.2,0.830,1.14,830
1.46,33.2,0.837,0.90,837
1.46,31.7,0.832,0.63,832
1.34,32.5,0.836,0.04,836
0.79,29.9,1.13,0.52,1130
1.10,30.1,1.16,0.30,1160
0.93,31.3,1.15,0.60,1150
1.02,32.9,1.37,0.10,1370
0.72,30.0,0.98,0.06,980
0.64,30.0,1.00,0.01,1000
0.83,30.2,0.95,0.42,950
0.90,30.7,0.969,0.90,969
0.88,31.4,0.951,0.14,951
1.30,29.6,0.168,0.69,168
0.85,31.5,1.01,0.43,1010
0.95,31.3,1.01,0.69,1010
1.38,29.9,1.14,1.06,1140
0.97,31.2,1.17,0.75,1170
0.95,31.6,1.52,0.62,1520
1.52,28.1,1.13,0.20,1130
1.46,30.9,0.903,1.08,903
1.32,30.9,0.750,1.10,750
1.20,30.9,1.38,0.04,1380
0.91,32.1,1.52,1.01,1520
0.88,32.3,1.10,0.04,1100
1.36,28.2,0.856,0.46,856
1.56,28.0,0.824,1.18,824
1.20,29.4,1.04,0.74,1040
1.04,30.0,1.03,0.08,1030
1.20,31.0,0.992,0.18,992
0.89,33.6,0.935,0.26,935
0.93,29.7,0.711,0.28,711
1.54,29.5,0.718,1.24,718
1.88,30.4,0.713,1.78,713
1.80,30.7,0.725,1.20,725
0.62,36.4,0.658,0.21,658
1.58,37.6,0.776,0.74,776
1.12,29.2,0.142,0.35,142
1.46,29.9,0.294,0.81,294
0.94,27.3,1.180,1.22,1180
0.98,32.1,0.267,0.34,267
1.62,33.4,0.852,1.18,852
2.30,29.8,,1.44,0
1.32,31.6,,1.20,0
1.24,31.6,,0.92,0
1.44,31.6,,1.21,0
1.24,31.6,,,0
2.02,29.6,0.93,1.66,930
1.20,30.7,1.01,0.17,1010
1.26,31.5,1.01,0.45,1010
1.16,33.4,1.02,0.09,1020
1.08,31.9,0.861,0.56,861
1.36,31.9,0.844,0.48,844
0.91,28.5,,0.06,0
0.88,29.2,,0.76,0
0.91,29.6,,0.51,0
0.90,29.8,,0.04,0
0.91,31.1,,0.09,0
0.86,36.4,,0.37,0
0.98,31.6,0.864,0.20,864
0.90,30.5,1.18,0.41,1180
0.92,31.3,1.11,0.09,1110
0.87,31.6,0.93,0.37,930
0.90,31.6,0.950,0.38,950
0.86,31.7,1.06,0.11,1060
0.66,28.7,,0.36,0
0.75,29.0,,0.03,0
0.75,29.7,,0.03,0
0.75,30.4,,0.16,0
0.61,28.4,0.503,0.55,503
0.76,29.3,0.530,,530
0.78,29.3,0.677,0.17,677
0.69,31.0,0.496,0.42,496
5.10,28.6,0.781,4.60,781
1.18,29.5,0.96,0.10,960
1.18,30.4,0.835,0.75,835
1.12,31.1,0.691,0.60,691
1.20,31.4,0.96,0.44,960
1.10,31.5,0.746,0.41,746
5.20,28.6,,1.04,
1.18,29.3,,0.05,
1.12,30.4,,0.77,
1.22,30.2,,0.17,
1.08,30.8,,,
1.12,30.4,,0.06,
3.40,27.8,0.407,1.41,407
3.30,28.6,0.437,2.06,437
3.40,29.1,0.487,0.25,487
3.30,29.9,0.429,2.80,429
0.64,30.1,0.551,0.16,551
0.72,30.1,0.382,0.43,382
3.00,27.8,,2.40,
3.40,28.7,,2.70,
3.20,29.8,,2.60,
3.10,29.7,,0.00,
0.54,29.8,,0.17,
0.56,29.8,,1.50,
0.45,29.9,0.442,0.10,442
0.26,30.4,0.468,0.10,468
0.29,30.1,0.456,0.18,456
0.36,31.4,0.453,0.11,453
0.44,30.1,0.463,0.27,463
0.44,30.6,0.624,,624
0.43,30.5,0.501,0.12,501
0.31,30.9,0.549,0.07,549
2.20,29.6,0.920,1.01,920
2.20,30.2,1.04,1.50,1040
2.30,30.6,0.827,0.10,827
2.30,30.9,0.91,1.68,910
2.30,30.7,0.837,1.78,837
2.30,30.9,0.97,1.64,970
2.30,32.4,0.828,,828
2.30,29.7,0.832,1.88,832
2.30,30.1,0.833,1.70,833
2.40,30.3,0.844,0.61,844
2.30,30.7,0.831,1.90,831
2.30,31.4,0.847,1.92,847
2.20,30.1,0.843,0.06,843
2.30,32.0,0.862,0.62,862
1.24,30.2,0.648,0.23,648
1.32,30.9,0.486,1.04,486
1.24,31.3,0.462,0.07,462
1.16,31.5,0.473,1.08,473
1.08,31.7,0.569,,569
1.22,30.3,0.396,,396
1.16,31.0,0.351,0.98,351
1.12,31.2,0.457,0.78,457
1.22,31.1,0.363,0.80,363
1.22,31.7,0.401,0.08,401
0.19,30.2,0.549,0.11,549
0.20,29.9,0.627,0.10,627
0.12,29.9,0.520,0.07,520
0.24,30.3,0.521,0.07,521
0.21,30.4,0.647,0.11,647
0.18,30.7,0.534,0.06,534
0.28,29.9,0.404,0.03,404
0.26,30.2,0.474,0.08,474
0.20,30.2,0.399,0.06,399
0.31,31.2,0.432,0.01,432
0.23,30.4,0.410,0.05,410
0.27,31.4,0.405,,405
0.92,27.9,714,0.47,714
0.83,28.1,788,0.32,788
0.95,28.3,704,0.04,704
1.01,29.4,711,0.44,711
1.36,28.7,1387,0.32,1387
1.74,29.3,1359,1.12,1359
2.02,29.3,357,1.51,357
1.88,30.0,355,1.14,355
1.01,28.4,863,0.41,863
0.92,28.8,864,0.54,864
0.88,29.1,854,0.46,854
0.82,30.0,936,0.39,936
0.88,28.4,1117,0.12,1117
